,Brand,Model,Variant,Year,Location,Ownership,KM Driven,Fuel,Transmission,Price
4968,Ford,Ecosport,Titanium 1.5 TDCi (Opt),2014,Delhi,First,"1,56,205",Diesel,Automatic,"4,55,100"
4969,Audi,Q7,45 TFSI Technology Pack,2019,Delhi,First,"40,000",Petrol,Automatic,"65,00,000"
4970,Toyota,Camry,Hybrid,2014,Delhi,First,"1,10,000",Petrol,Automatic,"16,21,000"
4971,Mahindra,XUV500,W6,2017,Delhi,First,"71,000",Diesel,Automatic,"8,75,000"
4972,Ford,Ecosport,Titanium 1.5 TDCi (Opt),2014,Delhi,First,"1,56,205",Diesel,Manual,"4,55,100"
4973,Maruti Suzuki,Swift,VDi ABS ,2014,Delhi,First,"35,607",Diesel,Automatic,"4,35,800"
4974,Ford,Ecosport,Titanium 1.5 TDCi (Opt),2015,Delhi,First,"81,218",Diesel,Manual,"5,25,899"
4975,Honda,City,SV,2014,Delhi,First,"77,000",Petrol,Automatic,"5,75,000"
4976,Hyundai,i10,1.1L iRDE Magna Special Edition,2014,Noida,First,"69,000",Petrol,Manual,"3,20,000"
4977,Maruti Suzuki,Wagon R,LXi,2011,Noida,Second,"48,000",Petrol,Manual,"2,10,000"
4978,Honda,Amaze,1.5 S i-DTEC,2013,Faridabad,Second,"75,000",Diesel,Automatic,"2,40,000"
4979,Audi,A4,30 TFSI Premium Plus,2017,Delhi,First,"98,000",Petrol,Automatic,"21,75,000"
4980,BMW,5-Series,520d Sport Line,2018,Delhi,First,"45,000",Diesel,Automatic,"39,75,000"
4981,Mercedes-Benz,GLE,250 d,2017,Delhi,First,"37,000",Diesel,Manual,"46,75,000"
4982,Jaguar,F-Pace,Prestige,2018,Delhi,First,"47,000",Diesel,Automatic,"46,75,000"
4983,Honda,City,SV,2014,Delhi,First,"55,000",Petrol,Automatic,"5,80,000"
4984,Honda,City,S,2016,Delhi,First,"58,000",Petrol,Automatic,"6,50,000"
4985,Hyundai,Grand i10,Asta 1.2 Kappa VTVT ,2014,Delhi,Second,"53,000",Petrol,Manual,"3,59,000"
4986,BMW,5-Series,520d Sedan,2013,Delhi,Second,"1,17,009",Diesel,Automatic,"10,90,000"
4987,Maruti Suzuki,Wagon R,VXI,2016,Noida,First,"55,000",Petrol,Manual,"3,80,000"
4988,Toyota,Etios Liva,G,2012,Noida,First,"68,000",Petrol,Automatic,"2,75,000"
4989,Mahindra,Thar,LX 4-STR Convertible Diesel AT,2021,Delhi,First,"6,000",Diesel,Automatic,"17,50,000"
4990,Hyundai,Alcazar,Platinum 7 STR 2.0 Petrol,2021,Delhi,First,"10,000",Petrol,Manual,"19,00,000"
4991,Jaguar,XJ,2.0 i4 Portfolio,2016,Delhi,Second,"35,000",Petrol,Manual,"45,00,000"
4992,Hyundai,Verna,Fluidic 1.6 VTVT SX Opt AT,2014,Delhi,First,"52,000",Petrol,Manual,"5,90,000"
4993,Hyundai,i10,1.1L iRDE Magna Special Edition,2014,Noida,First,"69,000",Petrol,Automatic,"3,20,000"
4994,Maruti Suzuki,Wagon R,LXi,2011,Noida,Second,"48,000",Petrol,Manual,"2,10,000"
4995,BMW,X1,sDrive20d xLine,2017,Delhi,Second,"44,550",Diesel,Automatic,"23,50,000"
4996,Maruti Suzuki,Alto,LXi CNG ,2015,Noida,First,"56,000",CNG,Manual,"3,15,000"
4997,Honda,City,VX (O) MT Diesel,2015,Noida,Second,"71,000",Diesel,Automatic,"5,85,000"
4998,Ford,Ecosport,Titanium 1.0 Ecoboost,2015,Noida,First,"61,000",Petrol,Manual,"6,10,000"
4999,Maruti Suzuki,Celerio,ZXi ,2017,Noida,First,"63,000",Petrol,Automatic,"4,30,000"
5000,Maruti Suzuki,Estilo,LXi BS-IV,2010,Noida,First,"89,000",Petrol,Manual,"1,65,000"
5001,Hyundai,i10,Magna 1.2,2009,Noida,First,"77,000",Petrol,Automatic,"1,50,000"
5002,Maruti Suzuki,Alto 800,Lxi CNG,2017,Noida,Second,"69,000",CNG,Manual,"3,00,000"
